title,author
Small Things Like These,Claire Keegan
The Premonition,"Banana Yoshimoto, translated"
The English Understand Wool,Helen DeWitt
One Week in January,Carson Ellis
Only Child,Rhiannon Navin
Brownstone,"Samuel Teer, illustrated"
"84, Charing Cross Road",Helene Hanff
Jonathan Livingston Seagull,Richard Bach
Kick the Latch,Kathryn Scanlan
Q&A,Adrian Tomine
Cursed Bunny,"Bora Chung, translated"
Beauty,Kerascoët & Hubert
Breasts and Eggs,Mieko Kawakami
The Nickel Boys,Colson Whitehead
The White Album,Joan Didion
The Wind-Up Bird Chronicle,Haruki Murakami 
Eggshell Skull,Bri Lee
The Talisman,Stephen King and Peter Straub
Anna Karenina,Leo Tolstoy
Sense & Sensibility,Jane Austen
Lady Susan,Jane Austen
The Proposal,Bae Myung-Hoon
The Bookshop Woman,Nanako Hanada
Asa: The Girl Who Turned Into a Pair of Chopsticks,Natsuko Imamura
The Sack of Bath,Adam Fergusson
An Education in Malice,S.T. Gibson
When Among Crows,Veronica Roth
Kick the Latch,Kathryn Scanlan
Parnassus on Wheels,Christopher Morley
"To Be Taught, if Fortunate",Becky Chambers
Stranger in a Strange Land,Robert A. Heinlein
All In,Billie Jean King
The Woman Who Borrowed Memories: Selected Stories,Tove Jansson
"The Wager: A Tale of Shipwreck, Mutiny, and Murder",David Grann
Intermezzo,Sally Rooney
The Wild Robot,Peter Brown
The Language of the Night,Ursula K. Le Guin
One Week in January: New Paintings for an Old Diary,Carson Ellis
The Lido,Libby Page
The Pisces,Melissa Broder
Brownstone,"Samuel Teer, illustrated"
"This is Amiko, Do You Copy?",Natsuko Imamura
Ring,Koji Suzuki
Headshot,Rita Bullwinkel
Salt Slow,Julia Armfield
Graveyard Shift,M.L. Rio
Rememberings,Sinéad O’Connor
The Stranger Beside Me,Ann Rule
Jasper Jones,Craig Silvey
Only Child,Rhiannon Navin
Snotgirl Vol. 1: Green Hair Don’t Care,Bryan Lee O’Malley & Leslie Hung
It’s Lonely at the Centre of the Earth,Zoe Thorogood
Ye,Guilherme Petreca
The Loneliness of the Long-Distance Cartoonist,Adrian Tomine
Anne of Avonlea,L.M. Montgomery
Underground Overground,Andrew Martin
Briefly a Delicious Life,Nell Stevens
Pet Sematary,Stephen King
Jane Austen at Home,Lucy Worsley
The City and its Uncertain Walls,Haruki Murakami
Intermezzo,Sally Rooney
Still Life with Remorse,Maira Kalman
Moonbound,Robin Sloan
"Tove Jansson: Life, Art, Words",Boel Westin
Parnassus on Wheels,Christopher Morley
Slow Dance,Rainbow Rowell
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg
A Crooked Tree,Una Mansion
The City and its Uncertain Walls,Haruki Murakami
The White Album,Joan Didion
American Psycho,Bret Easton Ellis
The Talisman,Stephen King and Peter Straub
Only Child,Rhiannon Navin
The Wind-Up Bird Chronicle,Haruki Murakami
The Girl Next Door,Jack Ketchum
"Raise High the Roof Beam, Carpenters and Seymour an Introduction",J.D. Salinger
Jasper Jones,Craig Silvey
The Stranger Beside Me,Ann Rule
Monkey Grip,Helen Garner
Lessons in Chemistry,Bonnie Garmus
The Con Artists,Luke Healy
The God of the Woods,Liz Moore
Closer Baby Closer,Savannah Brown
"Raise High the Roof Beam, Carpenters and Seymour an Introduction",J.D. Salinger
The Stranger Beside Me,Ann Rule
Ordinary Human Failings,Megan Nolan
Old Caves,Tyler Landry
Ripe,Sarah Rose Etter
The Con Artists,Luke Healy
Men Have Called Her Crazy,Anna Marie Tendler
Beauty,Kerascoët and Hubert
The God of the Woods,Liz Moore
Middle Distance,Milo Choy
Little Girls in Pretty Boxes: The Making and Breaking of Elite Gymnasts and Figure Skaters,Joan Ryan
Valley of the Dolls,Jacqueline Susann
Agatha Christie,Lucy Worsley
Closer Baby Closer,Savannah Brown
Little Girls in Pretty Boxes: The Making and Breaking of Elite Gymnasts and Figure Skaters,Joan Ryan
Western Lane,Chetna Maroo
Agatha Christie,Lucy Worsley
Crossing the Line: A Fearless Team of Brothers and the Sport That Changed Their Lives Forever,Kareem Rosser
Slow Dance,Rainbow Rowell
Mina’s Matchbox,"Yoko Ozawa, translated"
Half-Arse Manifesto,Leena Norms
Please Do Not Touch This Exhibit,Jen Campbell
Penance,Eliza Clark
Agatha Christie,Lucy Worsley
